# role=DOL_BASELINE	git=776619f88d2d5ce52f09ab956194fd519a41f985	pin=776619f88d2d5ce52f09ab956194fd519a41f985	pin_ok=true
direction	opcode_hex	opcode_dec	name	on_1127_route	version_route	implementing_lib	sender_or_handler	transport	provenance	caer_status	product_consumer	negatives
S2C	0x16	22	VariousUpdate	yes	PacketLib1127 vtable; layout from PacketLib1126 (not generic version support)	PacketLib1126	CheckLengthHybridSkillsPacket,SendGroupWindowUpdate,SendNonHybridSpellLines,SendUpdateCraftingSkills,SendUpdatePlayer,SendUpdatePlayerSkills,SendUpdateWeaponAndArmorStats	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1112.cs;GameServer/packets/Server/PacketLib1125.cs;GameServer/packets/Server/PacketLib1126.cs;GameServer/packets/Server/PacketLib168.cs;GameServer/packets/Server/PacketLib179.cs;GameServer/packets/Server/PacketLib180.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x17	23	MerchantWindow	yes	PacketLib1127 vtable; layout from PacketLib1125 (not generic version support)	PacketLib1125	SendMerchantWindow	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1125.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x1B	27	SpellEffectAnimation	yes	PacketLib1127 vtable; layout from PacketLib174 (not generic version support)	PacketLib174	SendSpellEffectAnimation	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib174.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x1E	30	ConsignmentMerchantMoney	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendConsignmentMerchantMoney	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x1F	31	MarketExplorerWindow	yes	PacketLib1127 vtable; layout from PacketLib1125 (not generic version support)	PacketLib1125	SendMarketExplorerWindow	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1125.cs;GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x20	32	PositionAndObjectID	yes	PacketLib1127 vtable; layout from PacketLib1124 (not generic version support)	PacketLib1124	SendPlayerPositionAndObjectID	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1124.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x21	33	DebugMode	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendDebugMode	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	ABSENT	-	-
S2C	0x22	34	CryptKey	yes	PacketLib1127 vtable; layout from PacketLib1126 (not generic version support)	PacketLib1126	SendVersionAndCryptKey	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1126.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x28	40	SessionID	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendSessionID	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x29	41	PingReply	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendPingReply	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x2A	42	LoginGranted	yes	PacketLib1127 vtable; layout from PacketLib1125 (not generic version support)	PacketLib1125	SendLoginGranted	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1125.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x2B	43	CharacterInitFinished	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendPlayerInitFinished	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x2C	44	LoginDenied	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendLoginDenied	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x2D	45	GameOpenReply	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendGameOpenReply	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x2F	47	UDPInitReply	yes	PacketLib1127 vtable; layout from PacketLib1125 (not generic version support)	PacketLib1125	SendUDPInitReply	UDP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1125.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x45	69	MinotaurRelicMapRemove	yes	PacketLib1127 vtable; layout from PacketLib186 (not generic version support)	PacketLib186	SendMinotaurRelicMapRemove	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib186.cs	ABSENT	-	-
S2C	0x46	70	MinotaurRelicMapUpdate	yes	PacketLib1127 vtable; layout from PacketLib186 (not generic version support)	PacketLib186	SendMinotaurRelicMapUpdate	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib186.cs	ABSENT	-	-
S2C	0x49	73	WarMapClaimedKeeps	yes	PacketLib1127 vtable; layout from PacketLib1115 (not generic version support)	PacketLib1115	SendWarmapUpdate	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1115.cs	ABSENT	-	-
S2C	0x4A	74	WarMapDetailUpdate	yes	PacketLib1127 vtable; layout from PacketLib170 (not generic version support)	PacketLib170	SendWarmapDetailUpdate	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib170.cs	ABSENT	-	-
S2C	0x4B	75	PlayerCreate	yes	PacketLib1127 vtable; layout from PacketLib1124 (not generic version support)	PacketLib1124	SendPlayerCreate	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1124.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x4C	76	VisualEffect	yes	PacketLib1127 vtable; layout from PacketLib193 (not generic version support)	PacketLib193	SendBlinkPanel,SendHexEffect,SendMinotaurRelicBarUpdate,SendMinotaurRelicWindow,SendNPCsQuestEffect,SendPlayerFreeLevelUpdate,SendPlayerTitleUpdate,SendRegionColorScheme,SendRvRGuildBanner,SendVampireEffect,SendWarlockChamberEffect	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib171.cs;GameServer/packets/Server/PacketLib173.cs;GameServer/packets/Server/PacketLib174.cs;GameServer/packets/Server/PacketLib175.cs;GameServer/packets/Server/PacketLib176.cs;GameServer/packets/Server/PacketLib186.cs;GameServer/packets/Server/PacketLib193.cs	ABSENT	-	method body still calls base.*; inherited layout is the most-derived override, not a generic multi-version encoder
S2C	0x4E	78	ControlledHorse	yes	PacketLib1127 vtable; layout from PacketLib180 (not generic version support)	PacketLib180	SendControlledHorse,SendSetControlledHorse	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib180.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x5C	92	XFire	yes	PacketLib1127 vtable; layout from PacketLib188 (not generic version support)	PacketLib188	SendXFireInfo	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib188.cs	ABSENT	-	-
S2C	0x61	97	KeepComponentInteractResponse	yes	PacketLib1127 vtable; layout from PacketLib170 (not generic version support)	PacketLib170	SendKeepComponentInteract	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib170.cs	ABSENT	-	-
S2C	0x62	98	KeepClaim	yes	PacketLib1127 vtable; layout from PacketLib170 (not generic version support)	PacketLib170	SendKeepClaim	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib170.cs	ABSENT	-	-
S2C	0x63	99	KeepComponentHookpointStore	yes	PacketLib1127 vtable; layout from PacketLib170 (not generic version support)	PacketLib170	SendHookPointStore	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib170.cs	ABSENT	-	-
S2C	0x65	101	KeepComponentHookpointUpdate	yes	PacketLib1127 vtable; layout from PacketLib170 (not generic version support)	PacketLib170	SendClearKeepComponentHookPoint,SendKeepComponentHookPoint	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib170.cs	ABSENT	-	-
S2C	0x66	102	WarmapBonuses	yes	PacketLib1127 vtable; layout from PacketLib174 (not generic version support)	PacketLib174	SendWarmapBonuses	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib174.cs	ABSENT	-	-
S2C	0x67	103	KeepComponentUpdate	yes	PacketLib1127 vtable; layout from PacketLib170 (not generic version support)	PacketLib170	SendKeepComponentUpdate	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib170.cs	ABSENT	-	-
S2C	0x69	105	KeepInfo	yes	PacketLib1127 vtable; layout from PacketLib1124 (not generic version support)	PacketLib1124	SendKeepInfo	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1124.cs	ABSENT	-	-
S2C	0x6A	106	KeepRealmUpdate	yes	PacketLib1127 vtable; layout from PacketLib170 (not generic version support)	PacketLib170	SendKeepRealmUpdate	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib170.cs	ABSENT	-	-
S2C	0x6B	107	KeepRemove	yes	PacketLib1127 vtable; layout from PacketLib170 (not generic version support)	PacketLib170	SendKeepRemove	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib170.cs	ABSENT	-	-
S2C	0x6C	108	KeepComponentInfo	yes	PacketLib1127 vtable; layout from PacketLib170 (not generic version support)	PacketLib170	SendKeepComponentInfo	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib170.cs	ABSENT	-	-
S2C	0x6D	109	KeepComponentDetailUpdate	yes	PacketLib1127 vtable; layout from PacketLib170 (not generic version support)	PacketLib170	SendKeepComponentDetailUpdate	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib170.cs	ABSENT	-	-
S2C	0x6E	110	KeepComponentRemove	yes	PacketLib1127 vtable; layout from PacketLib170 (not generic version support)	PacketLib170	SendKeepComponentRemove	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib170.cs	ABSENT	-	-
S2C	0x70	112	GroupMemberUpdate	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendGroupMemberUpdate,SendGroupMembersUpdate	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x72	114	SpellCastAnimation	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendSpellCastAnimation	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x73	115	InterruptSpellCast	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendInterruptAnimation	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x74	116	AttackMode	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendAttackMode	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x75	117	ConcentrationList	yes	PacketLib1127 vtable; layout from PacketLib191 (not generic version support)	PacketLib191	SendConcentrationList	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib191.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x7B	123	TrainerWindow	yes	PacketLib1127 vtable; layout from PacketLib1105 (not generic version support)	PacketLib1105	SendChampionTrainerWindow,SendCustomTrainerWindow,SendTrainerWindow	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1105.cs;GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x7E	126	Time	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendTime	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	ABSENT	-	-
S2C	0x7F	127	UpdateIcons	yes	PacketLib1127 vtable; layout from PacketLib1110 (not generic version support)	PacketLib1110	SendUpdateIcons	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1110.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x81	129	Dialog	yes	PacketLib1127 vtable; layout from PacketLib194 (not generic version support)	PacketLib194	SendCustomDialog,SendDialogBox,SendGroupInviteCommand,SendGuildInviteCommand,SendGuildLeaveCommand,SendHousePayRentDialog,SendQuestAbortCommand,SendQuestSubscribeCommand,SendQuestWindow	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs;GameServer/packets/Server/PacketLib194.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x83	131	QuestEntry	yes	PacketLib1127 vtable; layout from PacketLib1124 (not generic version support)	PacketLib1124	SendQuestPacket,SendTaskInfo	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1124.cs;GameServer/packets/Server/PacketLib184.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x86	134	FindGroupUpdate	yes	PacketLib1127 vtable; layout from PacketLib176 (not generic version support)	PacketLib176	SendCrash,SendFindGroupWindowUpdate	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs;GameServer/packets/Server/PacketLib176.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x88	136	PetWindow	yes	PacketLib1127 vtable; layout from PacketLib181 (not generic version support)	PacketLib181	SendPetWindow	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib181.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x89	137	PlayerRevive	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendPlayerRevive	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x8D	141	PlayerModelTypeChange	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendPlayerModelTypeChange	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x91	145	CharacterPointsUpdate	yes	PacketLib1127 vtable; layout from PacketLib190 (not generic version support)	PacketLib190	SendUpdatePoints	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib190.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x92	146	Weather	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendWeather	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	ABSENT	-	-
S2C	0x99	153	DoorState	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendDoorState	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xA1	161	ObjectUpdate	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendObjectUpdate	UDP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xA2	162	RemoveObject	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendObjectRemove	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xA4	164	Quit	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendPlayerQuit	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xAD	173	CharacterStatusUpdate	yes	PacketLib1127 vtable; layout from PacketLib190 (not generic version support)	PacketLib190	SendStatusUpdate	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib190.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xAE	174	PlayerDeath	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendPlayerDied	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xAF	175	Message	yes	PacketLib1127 vtable; layout from PacketLib1127 (not generic version support)	PacketLib1127	SendMessage	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1127.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed); 1.127 SendMessage is type-prefixed C-string without 168 location byte; char-screen suppressed
S2C	0xB1	177	RegionServer	yes	PacketLib1127 vtable; layout from PacketLib1126 (not generic version support)	PacketLib1126	SendRegions	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1126.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xB6	182	MaxSpeed	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendUpdateMaxSpeed	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xB7	183	RegionChanged	yes	PacketLib1127 vtable; layout from PacketLib174 (not generic version support)	PacketLib174	SendRegionChanged	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib174.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xBC	188	CombatAnimation	yes	PacketLib1127 vtable; layout from PacketLib186 (not generic version support)	PacketLib186	SendCombatAnimation	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib186.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xBD	189	Encumberance	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendEncumberance	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xC3	195	BadNameCheckReply	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendBadNameCheckReply	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xC4	196	DetailWindow	yes	PacketLib1127 vtable; layout from PacketLib1113 (not generic version support)	PacketLib1113	SendCustomTextWindow,SendPlayerTitles	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1113.cs;GameServer/packets/Server/PacketLib181.cs	ABSENT	-	-
S2C	0xC5	197	AddFriend	yes	PacketLib1127 vtable; layout from PacketLib1126 (not generic version support)	PacketLib1126	SendAddFriends	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1126.cs	ABSENT	-	-
S2C	0xC6	198	RemoveFriend	yes	PacketLib1127 vtable; layout from PacketLib1126 (not generic version support)	PacketLib1126	SendRemoveFriends	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1126.cs	ABSENT	-	-
S2C	0xC8	200	Riding	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendRiding	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xC9	201	SoundEffect	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendSoundEffect	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xCC	204	DupNameCheckReply	yes	PacketLib1127 vtable; layout from PacketLib1126 (not generic version support)	PacketLib1126	SendDupNameCheckReply	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1126.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xD0	208	CheckLosRequest	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendCheckLOS	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xD1	209	HouseCreate	yes	PacketLib1127 vtable; layout from PacketLib189 (not generic version support)	PacketLib189	SendHouse,SendRemoveHouse	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs;GameServer/packets/Server/PacketLib189.cs	ABSENT	-	-
S2C	0xD2	210	HouseChangeGarden	yes	PacketLib1127 vtable; layout from PacketLib189 (not generic version support)	PacketLib189	SendGarden,SendHouseOccupied	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib189.cs	ABSENT	-	-
S2C	0xD3	211	PlaySound	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendPlaySound	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xD6	214	DisableSkills	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendDisableSkill	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xD8	216	DelveInfo	yes	PacketLib1127 vtable; layout from PacketLib1110 (not generic version support)	PacketLib1110	SendDelveInfo	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1110.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xD9	217	ObjectCreate	yes	PacketLib1127 vtable; layout from PacketLib176 (not generic version support)	PacketLib176	SendObjectCreate	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib176.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xDA	218	NPCCreate	yes	PacketLib1127 vtable; layout from PacketLib1124 (not generic version support)	PacketLib1124	SendNPCCreate	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1124.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xDB	219	ModelChange	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendModelAndSizeChange	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xDE	222	ObjectGuildID	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendObjectGuildID	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xDF	223	ChangeGroundTarget	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendChangeGroundTarget	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xE1	225	ObjectDelete	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendObjectDelete	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xE2	226	EmblemDialogue	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendEmblemDialogue	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0xE3	227	SiegeWeaponAnimation	yes	PacketLib1127 vtable; layout from PacketLib1124 (not generic version support)	PacketLib1124	SendSiegeWeaponAnimation,SendSiegeWeaponFireAnimation	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1110.cs;GameServer/packets/Server/PacketLib1124.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
